time,pmt,x,y,z,event
1250.34626007, 13.0, 186.5, -29.0, 700.0, 0.0
1250.1999074, 18.0, 186.5, -29.0, 700.0, 0.0
1250.14957982, 28.0, 186.5, -29.0, 700.0, 0.0
1250.35738818, 30.0, 186.5, -29.0, 700.0, 0.0
1250.32525657, 31.0, 186.5, -29.0, 700.0, 0.0
1250.31417378, 32.0, 186.5, -29.0, 700.0, 0.0
1250.22641301, 32.0, 186.5, -29.0, 700.0, 0.0
1250.07778195, 33.0, 186.5, -29.0, 700.0, 0.0
1250.09211331, 36.0, 186.5, -29.0, 700.0, 0.0
1250.08428554, 36.0, 186.5, -29.0, 700.0, 0.0
1250.1437605, 48.0, 186.5, -29.0, 700.0, 0.0
1250.07566272, 50.0, 186.5, -29.0, 700.0, 0.0
1250.05286454, 51.0, 186.5, -29.0, 700.0, 0.0
1250.24599133, 52.0, 186.5, -29.0, 700.0, 0.0
1250.23985731, 54.0, 186.5, -29.0, 700.0, 0.0
1250.09357306, 57.0, 186.5, -29.0, 700.0, 0.0
1250.18201948, 59.0, 186.5, -29.0, 700.0, 0.0
1250.11191121, 63.0, 186.5, -29.0, 700.0, 0.0
1250.07531439, 69.0, 186.5, -29.0, 700.0, 0.0
1250.38774849, 77.0, 186.5, -29.0, 700.0, 0.0
1250.0991892, 87.0, 186.5, -29.0, 700.0, 0.0
1250.32348221, 89.0, 186.5, -29.0, 700.0, 0.0
1250.09032972, 90.0, 186.5, -29.0, 700.0, 0.0
1250.11829395, 91.0, 186.5, -29.0, 700.0, 0.0
1250.09786124, 92.0, 186.5, -29.0, 700.0, 0.0
1250.40322552, 96.0, 186.5, -29.0, 700.0, 0.0
1250.05933757, 102.0, 186.5, -29.0, 700.0, 0.0
1250.10390149, 106.0, 186.5, -29.0, 700.0, 0.0
1250.20944702, 109.0, 186.5, -29.0, 700.0, 0.0
1250.09246849, 109.0, 186.5, -29.0, 700.0, 0.0
1250.14658357, 111.0, 186.5, -29.0, 700.0, 0.0
3750.092378, 4.0, 186.5, -29.0, 700.0, 1.0
3750.24386946, 8.0, 186.5, -29.0, 700.0, 1.0
3750.33092873, 9.0, 186.5, -29.0, 700.0, 1.0
3750.24668709, 11.0, 186.5, -29.0, 700.0, 1.0
3750.15549704, 14.0, 186.5, -29.0, 700.0, 1.0
3750.3812447, 26.0, 186.5, -29.0, 700.0, 1.0
3750.17943361, 26.0, 186.5, -29.0, 700.0, 1.0
3750.2345799, 26.0, 186.5, -29.0, 700.0, 1.0
3750.10453317, 28.0, 186.5, -29.0, 700.0, 1.0
3750.10260788, 28.0, 186.5, -29.0, 700.0, 1.0
3750.21212092, 31.0, 186.5, -29.0, 700.0, 1.0
3750.06967309, 32.0, 186.5, -29.0, 700.0, 1.0
3750.09622926, 37.0, 186.5, -29.0, 700.0, 1.0
3750.40141147, 38.0, 186.5, -29.0, 700.0, 1.0
3750.250623, 43.0, 186.5, -29.0, 700.0, 1.0
3750.13782288, 48.0, 186.5, -29.0, 700.0, 1.0
3750.06531312, 48.0, 186.5, -29.0, 700.0, 1.0
3750.09504968, 49.0, 186.5, -29.0, 700.0, 1.0
3750.27865136, 49.0, 186.5, -29.0, 700.0, 1.0
3750.05376736, 51.0, 186.5, -29.0, 700.0, 1.0
3750.03626199, 54.0, 186.5, -29.0, 700.0, 1.0
3750.24965785, 54.0, 186.5, -29.0, 700.0, 1.0
3750.25385249, 55.0, 186.5, -29.0, 700.0, 1.0
3750.27182391, 57.0, 186.5, -29.0, 700.0, 1.0
3750.08947301, 58.0, 186.5, -29.0, 700.0, 1.0
3750.1408964, 59.0, 186.5, -29.0, 700.0, 1.0
3750.08915765, 59.0, 186.5, -29.0, 700.0, 1.0
3750.20963014, 65.0, 186.5, -29.0, 700.0, 1.0
3750.07702445, 67.0, 186.5, -29.0, 700.0, 1.0
3750.27011536, 68.0, 186.5, -29.0, 700.0, 1.0
3750.21464612, 71.0, 186.5, -29.0, 700.0, 1.0
3750.18586633, 73.0, 186.5, -29.0, 700.0, 1.0
3750.10958576, 75.0, 186.5, -29.0, 700.0, 1.0
3750.09338453, 83.0, 186.5, -29.0, 700.0, 1.0
3750.1678705, 84.0, 186.5, -29.0, 700.0, 1.0
3750.1152411, 86.0, 186.5, -29.0, 700.0, 1.0
3750.0973566, 86.0, 186.5, -29.0, 700.0, 1.0
3750.38615117, 86.0, 186.5, -29.0, 700.0, 1.0
3750.06488264, 87.0, 186.5, -29.0, 700.0, 1.0
3750.25361582, 90.0, 186.5, -29.0, 700.0, 1.0
3750.05945828, 91.0, 186.5, -29.0, 700.0, 1.0
3750.14922036, 93.0, 186.5, -29.0, 700.0, 1.0
3750.14340557, 95.0, 186.5, -29.0, 700.0, 1.0
3750.08334994, 96.0, 186.5, -29.0, 700.0, 1.0
3750.3665134, 97.0, 186.5, -29.0, 700.0, 1.0
3750.32623156, 101.0, 186.5, -29.0, 700.0, 1.0
3750.08089671, 107.0, 186.5, -29.0, 700.0, 1.0
3750.28867702, 108.0, 186.5, -29.0, 700.0, 1.0
3750.1858693, 109.0, 186.5, -29.0, 700.0, 1.0
3750.07404367, 110.0, 186.5, -29.0, 700.0, 1.0
3750.06960207, 111.0, 186.5, -29.0, 700.0, 1.0
