time,pmt,x,y,z,event
1250.13729448, 14.0, 186.5, -29.0, 700.0, 0.0
1250.17794076, 24.0, 186.5, -29.0, 700.0, 0.0
1250.51350558, 27.0, 186.5, -29.0, 700.0, 0.0
1250.09186838, 31.0, 186.5, -29.0, 700.0, 0.0
1250.08517981, 33.0, 186.5, -29.0, 700.0, 0.0
1250.04183502, 33.0, 186.5, -29.0, 700.0, 0.0
1250.10019229, 42.0, 186.5, -29.0, 700.0, 0.0
1250.07234206, 47.0, 186.5, -29.0, 700.0, 0.0
1250.13851857, 48.0, 186.5, -29.0, 700.0, 0.0
1250.05644162, 48.0, 186.5, -29.0, 700.0, 0.0
1250.06104263, 49.0, 186.5, -29.0, 700.0, 0.0
1250.07942488, 49.0, 186.5, -29.0, 700.0, 0.0
1250.05686555, 50.0, 186.5, -29.0, 700.0, 0.0
1250.26133481, 50.0, 186.5, -29.0, 700.0, 0.0
1250.04661079, 50.0, 186.5, -29.0, 700.0, 0.0
1250.09234704, 51.0, 186.5, -29.0, 700.0, 0.0
1250.07760102, 65.0, 186.5, -29.0, 700.0, 0.0
1250.0878952, 68.0, 186.5, -29.0, 700.0, 0.0
1250.15925175, 68.0, 186.5, -29.0, 700.0, 0.0
1250.15321307, 69.0, 186.5, -29.0, 700.0, 0.0
1250.21102609, 69.0, 186.5, -29.0, 700.0, 0.0
1250.07083809, 71.0, 186.5, -29.0, 700.0, 0.0
1250.0717982, 71.0, 186.5, -29.0, 700.0, 0.0
1250.26428488, 72.0, 186.5, -29.0, 700.0, 0.0
1250.04033779, 72.0, 186.5, -29.0, 700.0, 0.0
1250.0506641, 72.0, 186.5, -29.0, 700.0, 0.0
1250.22628115, 73.0, 186.5, -29.0, 700.0, 0.0
1250.20580611, 73.0, 186.5, -29.0, 700.0, 0.0
1250.11232974, 73.0, 186.5, -29.0, 700.0, 0.0
1250.10853636, 74.0, 186.5, -29.0, 700.0, 0.0
1250.19511029, 77.0, 186.5, -29.0, 700.0, 0.0
1250.14586348, 78.0, 186.5, -29.0, 700.0, 0.0
1250.08719588, 86.0, 186.5, -29.0, 700.0, 0.0
1251.72522269, 88.0, 186.5, -29.0, 700.0, 0.0
1250.96467436, 92.0, 186.5, -29.0, 700.0, 0.0
1250.34184933, 94.0, 186.5, -29.0, 700.0, 0.0
1250.18346916, 109.0, 186.5, -29.0, 700.0, 0.0
3750.29729611, 29.0, 186.5, -29.0, 700.0, 1.0
3750.47193714, 35.0, 186.5, -29.0, 700.0, 1.0
3751.03019551, 46.0, 186.5, -29.0, 700.0, 1.0
3750.06174172, 47.0, 186.5, -29.0, 700.0, 1.0
3750.05048174, 47.0, 186.5, -29.0, 700.0, 1.0
3750.08691946, 47.0, 186.5, -29.0, 700.0, 1.0
3750.08858134, 48.0, 186.5, -29.0, 700.0, 1.0
