time_SN_vis, pmt_vis,x_vis,y_vis,z_vis,event_vis
1147.22434199, 101.0, 50.8451727962, 278.398339533, -217.879789934, 0.0
1147.31461103, 103.0, 50.8451727962, 278.398339533, -217.879789934, 0.0
1147.21951683, 109.0, 50.8451727962, 278.398339533, -217.879789934, 0.0
1147.33880206, 112.0, 50.8451727962, 278.398339533, -217.879789934, 0.0
4668.31356692, 14.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.31814156, 14.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.39239802, 27.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.34336539, 29.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.31398379, 37.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.40261204, 38.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.37103622, 38.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.37318829, 39.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.35372622, 48.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.36033117, 55.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.36259992, 69.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.40274119, 73.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.37857879, 75.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.48757934, 91.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.49048745, 112.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
6994.8274284, 22.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.83589116, 49.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.90847265, 52.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.87413576, 63.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.84867579, 66.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.82562547, 68.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.83493852, 80.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.82870892, 81.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.87931931, 82.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.84384649, 84.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.82160765, 85.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6995.04671745, 85.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.81008869, 86.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.81635532, 88.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.87150441, 92.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.85781461, 94.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.88972239, 101.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.9735334, 102.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.89670176, 103.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.85642782, 103.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.87901869, 105.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.83194483, 106.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6995.17639275, 114.0, 103.393005554, 401.509813247, 190.642154861, 2.0
8124.38483307, 3.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.37124825, 4.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.45659562, 6.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.41017397, 6.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.47997846, 8.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.4069262, 10.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.42074281, 10.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.40850128, 12.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.39102821, 13.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.40257552, 13.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.39545228, 14.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.54972811, 14.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.39376897, 15.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.45690866, 17.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.43075453, 17.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.37994594, 18.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.37567628, 18.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.54525484, 19.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.38092442, 20.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.40495518, 24.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.42017286, 24.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.3905577, 25.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.35808786, 27.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.3471512, 28.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.43918068, 29.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.47466668, 29.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.39122616, 29.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.37893767, 30.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.40192561, 30.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.48755901, 30.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.3594381, 32.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.37012535, 34.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.35305999, 34.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.35206052, 34.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.42079116, 35.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.36309667, 36.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.35770286, 36.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.35313219, 37.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.46771922, 37.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.38837024, 45.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.36420521, 46.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.38782418, 47.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.39957175, 47.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.36949464, 47.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.39212151, 47.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.37638939, 47.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.36425758, 48.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.43649009, 50.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.40185769, 50.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.39962805, 52.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.41183696, 53.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
