time_SN_vuv, pmt_vuv,x_vuv,y_vuv,z_vuv,event_vuv
1147.24428252, 102.0, 50.8451727962, 278.398339533, -217.879789934, 0.0
1147.26150175, 104.0, 50.8451727962, 278.398339533, -217.879789934, 0.0
1147.28397138, 106.0, 50.8451727962, 278.398339533, -217.879789934, 0.0
1147.2984318, 112.0, 50.8451727962, 278.398339533, -217.879789934, 0.0
4668.54164336, 15.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.46011391, 18.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.41965931, 36.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.38096985, 39.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
4668.39939881, 58.0, 256.946042649, -453.437035356, 1308.27328122, 1.0
6994.89219544, 43.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6995.4257557, 48.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.99696565, 65.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.99228112, 65.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.80095831, 81.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.81925548, 81.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.79151179, 82.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.7959563, 82.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.80764422, 83.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.7992227, 83.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.8139976, 84.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.82154158, 84.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.78341861, 85.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6995.40501087, 88.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6995.10774369, 89.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.91005254, 94.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.87760496, 101.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.9358939, 101.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.78706226, 102.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.89210163, 102.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.80144913, 102.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.83031084, 102.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.84419859, 103.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.86981949, 103.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.90413627, 103.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.80259322, 103.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.85463289, 103.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.81111664, 103.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.81176522, 103.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.85286971, 103.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.80361067, 103.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.8162908, 104.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.9019142, 104.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.7852448, 104.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.90359, 104.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.94308062, 105.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.7857507, 105.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.80273981, 105.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.81651374, 106.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.99635041, 106.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.8284765, 106.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.85569581, 106.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.89192096, 106.0, 103.393005554, 401.509813247, 190.642154861, 2.0
6994.8213665, 107.0, 103.393005554, 401.509813247, 190.642154861, 2.0
8124.37477841, 10.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8125.04533831, 11.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.37331538, 11.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.35566059, 12.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.47952117, 15.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.41806931, 15.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.44318305, 16.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.42543857, 25.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.35873773, 26.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.5261195, 27.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.34325466, 28.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.48416962, 28.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.34573371, 28.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.52071941, 29.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.37340013, 30.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.37603691, 30.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.35365344, 31.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.40518742, 31.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.39334169, 31.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.3976293, 32.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.36603096, 32.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.36535176, 32.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.39806978, 32.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.33989277, 33.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.36338765, 33.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.42671681, 33.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.46663605, 35.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.41871412, 47.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.42718428, 48.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
8124.56286956, 51.0, 205.582962936, -64.0184331753, 1055.44589408, 3.0
